DicerKO.avg.sRNA	DroshaKO.avg.sRNA	Wildtype.avg.sRNA
84.2	81.7	84.2
84.2	81.7	84.2
84.2	81.7	84.2
84.2	81.7	84.2
84.2	81.7	84.2
84.2	81.7	84.2
84.2	81.9	84.2
84.2	82.5	84.2
84.2	82.7	84.2
84.2	82.7	84.2
84.2	83.1	84.2
84.2	84.2	84.2
84.2	84.4	84.2
84.2	84.9	84.2
84.4	84.9	84.2
84.4	84.9	84.2
84.4	85.3	84.2
84.6	85.3	84.2
84.7	85.3	84.2
84.9	85.4	84.2
85.4	85.8	84.2
85.4	86	84.2
85.8	86	84.8
86	86	85.3
86	86	85.3
86	86	85.3
86	86	86
86	86	86.4
86	86	86.4
86	86	86.4
86	86	86.4
86	86	86.4
86	86	86.6
86	86	86.9
86	86	87.2
86	86	87.6
86	86	87.9
86	86	87.9
86	86	88.4
86	86	88.7
86	86	88.8
86.6	86	88.8
86.6	86	88.8
86.6	86	88.8
86.6	86	88.8
86.6	86	89
86.6	86	89
86.6	86.5	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	86.6	89.8
86.6	87.1	89.8
86.6	88.1	89.8
86.6	88.7	89.8
86.6	89	89.8
86.6	89	89.8
86.6	89	89.8
86.6	89	89.8
86.6	89	89.8
86.6	89	89.8
86.6	89	89.8
86.6	89.4	89.8
86.6	89.6	89.8
86.8	89.8	89.8
86.8	89.8	89.8
86.8	93.3	89.8
87.1	93.8	89.8
87.5	93.8	89.8
88.1	93.9	89.8
88.2	94.4	89.8
88.8	100	89.8
89.8	100	89.8
89.8	100	89.8
89.8	101.3	89.8
89.8		89.8
89.8		90.2
90.1		90.2
90.1		90.2
90.1		90.2
90.2		90.2
93.8		90.2
93.9		90.9
94.4		91.1
94.4		91.1
98.3		91.1
100		91.1
100		91.1
100		91.1
101.3		91.1
101.3		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		91.1
		93.9
		95.5
		98.3
		98.3
		98.3
		100.9
		101.6
		101.6
