Avg of 3 Human Tox	Ctr10.GSM1551187.A687	Ctr11.GSM1551188.A689	Ctr12.GSM1551185.A685	Ctr13.GSM1551184.A684	Ctr14.GSM1551173.A671	Ctr15.GSM1551183.A683	Ctr16.GSM1551174.A672	AD1.GSM1551178.A677	AD2.GSM1551181.A681	AD3.GSM1551177.A676	AD4.GSM1551179.A678	AD5.GSM1551176.A675	AD6.GSM1551175.A673	ADvCtrl.Group1	ADvCtrl.Group2
73	4.17147808741521	2.98377156483601	17.3174005799653	13.8272105676762	3.6681775607872	4.23212239086348	5.08063217290001	121.866283858025	2.59540812978227	17.1320215264935	8.89815395437669	53.6461587155744	24.2271853507328	7.32582756063476	38.060868589164
74	4.17147808741522	5.96754312967203	8.65870028998267	3.9506315907646	20.3724938376027	17.7220125117409	19.30640225702	82.7183781563204	16.3139939586314	52.2635087074041	68.4663512600651	151.672321459488	157.606958464445	11.4498945291711	88.1735853343922
75	1.13767584202233	2.98377156483601	1.9551903880606	1.31687719692154	2.31377353834271	0.529015298857936	1.01612643458	29.1561808154952	1.48309035987559	40.5530129804339	6.67361546578251	21.4584634862298	9.37826529705787	1.60749003766016	18.1171047341457
76	2.27535168404466	4.17728019077041	8.65870028998267	7.57204388229881	26.3544449367329	14.0189054197353	14.73383330141	144.798111465715	16.6847665486004	128.164869900731	37.0756414765696	135.090781492855	28.3953032605363	11.1129371007107	81.7015790241682
77	1.13767584202233	2.08864009538521	6.70350990192206	0	4.23251257013908	2.90958414371865	1.52418965187	81.8993843131885	5.56158884953344	10.4093295350846	9.39249584073095	84.8584692409995	8.07572845024426	2.65658745786533	33.366166038297
78	2.65457696471877	4.47565734725401	10.8932035906234	8.23048248075961	12.2460697029358	7.93522948286903	11.17739078038	84.8477621484634	8.52776956928462	63.9740044343744	32.8737354425584	121.923087989942	51.3199517644556	8.23037290707722	60.5777185581796
79	2.65457696471877	0.298377156483601	16.200148929645	11.8518947722938	26.1851444339271	6.34818358629523	5.58869539019001	1159.53148310612	3.33695330972007	261.751265600984	21.7510429995874	796.88930310226	36.9920464495061	9.87528874765051	380.042015761363
80	14.0313353849421	3.58052587780322	15.0828972793246	28.9712983322738	15.9706807646582	9.25776773001388	10.66932756309	427.350987346217	6.67390661944013	61.1548110186222	28.6718294085472	391.129266271734	32.8239285397024	13.9376904188723	157.967454867377
81	4.17147808741521	3.58052587780321	2.51381621322078	6.2551666853773	14.6727102431488	5.29015298857936	5.58869539019	82.554579387694	2.96618071975117	49.0105932276901	29.1661712949014	48.7692351959768	26.0507369362718	6.01036364081923	39.7529161270476
82	2.65457696471877	1.49188578241801	15.0828972793246	1.9753157953823	6.71558661128736	2.38056884486071	5.0806321729	163.798768626376	6.67390661944014	90.4310503360478	36.3341286470382	396.00618979133	57.3116212597981	5.05449477869882	125.092610880006
