DicerKO.avg.miRNA	DroshaKO.avg.miRNA	Wildtype.avg.miRNA
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.5
84.2	55.1	80.5
84.2	55.1	80.5
84.2	55.1	80.5
84.2	55.1	81.1
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	81.4
84.2	55.1	82
84.2	55.1	82.5
84.2	55.1	82.5
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.6
84.2	55.1	82.8
84.2	55.1	82.8
84.2	55.1	82.8
84.2	55.1	82.8
84.2	55.1	82.8
84.2	55.1	83.1
84.2	55.1	84.1
84.2	55.1	84.1
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.1	84.2
84.2	55.2	84.2
84.2	55.2	84.2
84.2	55.2	84.2
84.2	56.6	84.2
84.2	57.6	84.2
84.2	57.6	84.2
84.2	57.6	84.2
84.2	57.6	84.2
84.2	57.6	84.2
84.2	57.6	84.2
84.2	59	84.2
84.2	59.8	84.2
84.2	60.2	84.2
84.2	61	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	61.3	84.2
84.2	62.9	84.2
84.2	63	84.2
84.2	63	84.2
84.2	63	84.2
84.2	63	84.2
84.2	63	84.2
84.2	63	84.2
84.2	63	84.2
84.2	63.1	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.5	84.2
84.2	65.6	84.2
84.2	66.2	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.4	84.2
84.2	66.7	84.2
84.2	66.9	84.2
84.2	67.6	84.2
84.2	68	84.2
84.2	68.3	84.2
84.2	68.3	84.2
84.2	68.3	84.2
84.2	68.3	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.8	84.2
84.2	69.9	84.2
84.2	70.5	84.2
84.2	70.5	84.2
84.2	70.5	84.2
84.2	70.5	84.2
84.2	70.5	84.2
84.2	70.5	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.8	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.5	84.2
