Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
31.8	34.124	16.39	1328.253	1244.376	116.216	87.842
31.9	0	0	6.622	0	0	0
32	0	0	7.525	7.193	0.059	0.113
32.1	256.447	227.105	165.542	155.846	12.951	11.717
32.3	0	0	4.816	4.795	0.059	0.113
32.4	0	0	11.438	12.388	1.188	1.019
32.5	62.042	111.212	177.283	168.234	5.524	6.736
32.6	0	2.341	1.505	3.596	0.178	0.170
32.7	22.749	36.289	18.361	22.777	0.356	0.34
32.8	22.75	14.047	4.515	5.195	24.36	25.98
32.9	2.068	2.341	10.836	5.994	0.237	0.227
33	31.022	17.559	7.826	6.394	0.059	0.114
33.1	6.204	11.706	22.274	23.976	0.416	0.113
33.2	31.021	29.266	9.632	11.988	0.356	0.34
33.3	0	0	117.085	109.493	4.931	4.868
33.4	21.714	44.485	50.868	74.327	2.138	2.207
33.5	52.737	70.239	31.302	36.764	1.307	1.303
33.6	53.77	39.802	201.965	203.002	108.134	94.977
33.7	0	2.342	0	0	20.558	19.244
33.8	20.68	11.708	17.157	16.383	1.13	1.302
33.9	2095.008	2351.819	855.108	1050.97	29.82	33.338
34	0	0	18.661	0.400	0	0
34.1	40.328	46.826	57.187	52.348	2.138	1.811
34.2	15.51	7.024	124.311	110.691	4.398	3.904
34.3	0	0	0	0	6.060	5.094
34.4	24.817	9.365	288.045	243.362	3.445	2.266
34.5	12.409	2.341	5.117	87.513	0.475	0.283
34.6	27.919	21.072	23.176	24.775	437.298	523.444
34.7	12.408	10.537	31.905	31.17	3.684	1.981
34.8	10.34	11.707	23.477	25.974	0.475	1.018
34.9	51.702	53.85	4.515	4.797	409.312	383.016
35	15.511	12.877	22.575	23.976	0.891	0.849
35.1	0	0	0	0	2.852	3.339
35.2	1.034	4.683	114.978	99.102	2.732	2.604
35.3	6.204	3.512	14.448	17.582	4.694	4.472
